Time,Open,High,Low,Close,Volume
1620172800000,69029.9,74864.4,69029.9,74324.9,12.0596666
1620259200000,74427.4,75319.6,71406.7,72601.1,8.54488301
1620345600000,72544.1,75014.2,71527.6,73322.7,12.53314406
1620432000000,73772.5,76050.8,73119.9,75195.7,18.17203394
1620518400000,75312.3,75995.9,72184.5,74452.5,14.41611167
1620604800000,74588.7,76085.4,69500.0,71760.6,25.48546814
1620691200000,71760.0,73025.0,69949.0,72914.0,27.15478503
1620777600000,73356.7,74673.4,63494.6,64106.5,44.13669692
1620864000000,64140.9,66995.2,60868.4,64683.6,57.35874096
1620950400000,64788.8,66525.8,63557.3,64532.9,14.93660923
1621036800000,64381.4,65591.5,60400.0,60635.0,12.29206902
1621123200000,60772.4,64094.7,56733.2,60065.5,26.61572953
1621209600000,59974.1,60193.9,54452.0,55863.5,39.06919813
1621296000000,56175.5,58914.0,54331.0,55151.4,35.23200152
1621382400000,55101.3,55866.0,40250.0,48251.1,83.74052752
1621468800000,48240.4,55139.8,45531.7,52914.0,50.02342273
1621555200000,53207.8,54675.8,43545.6,48438.4,72.88389442
1621641600000,48449.2,50262.5,45839.1,48483.6,33.79927676
1621728000000,48482.4,49509.9,40521.3,45347.2,61.98229481
1621814400000,45405.2,51636.1,44408.0,50154.2,31.16097678
1621900800000,50480.4,51535.4,47241.3,49280.8,28.3479232
1621987200000,49644.6,52721.0,49086.0,50652.3,34.7236337
1622073600000,50748.9,52154.7,48000.0,49789.2,17.80870554
1622160000000,49650.0,50416.3,45250.3,46355.4,18.24064151
1622246400000,46502.8,48453.1,43897.8,45123.6,8.96931659
1622332800000,45047.7,47512.1,43624.2,46494.3,6.59509267
1622419200000,46467.1,48436.7,44494.2,48293.8,10.32790962
1622505600000,48697.4,48940.5,46357.1,47652.0,13.195162
1622592000000,47533.6,49282.5,46676.2,48663.3,16.69422051
1622678400000,49001.5,51337.8,48263.5,51132.8,8.946996
1622764800000,50891.2,50914.2,46695.3,47702.1,23.25857985
1622851200000,47614.9,49110.1,45360.5,45980.9,5.52420307
1622937600000,46066.8,47186.4,45822.0,46377.8,4.81583272
1623024000000,46422.1,47687.7,43175.9,43417.6,16.04682712
1623110400000,43308.6,43995.9,40352.4,43451.9,20.78027003
1623196800000,43451.0,48578.1,42112.6,48578.1,23.84180232
1623283200000,48741.4,49533.5,46469.5,47555.8,9.40145387
1623369600000,47250.0,48570.2,46551.3,48565.3,3.69906559
1623456000000,48492.9,48558.5,45318.3,46435.1,10.11616537
1623542400000,45976.9,50812.4,45072.2,50695.7,6.06032136
1623628800000,50734.4,53000.0,50357.7,52566.6,15.55047993
1623715200000,52808.0,53656.7,51456.0,52168.5,7.46036269
1623801600000,52102.3,52638.8,49938.6,50326.3,13.73389405
1623888000000,50289.2,52087.6,49554.5,50280.0,9.4304125
1623974400000,50277.4,50419.0,47000.0,47911.3,13.11118529
1624060800000,48008.2,48747.2,46847.3,47764.3,5.29755108
1624147200000,47818.2,48310.0,44847.2,47743.0,11.34001138
1624233600000,47563.7,47750.0,41898.0,42129.4,16.15871272
1624320000000,42072.5,44237.6,38669.0,42774.9,33.15879715
1624406400000,43115.5,45996.0,42985.1,44649.4,5.70454193
1624492800000,44584.7,46451.9,43000.0,45828.5,11.33471156
1624579200000,45912.6,46797.4,41462.8,41970.0,10.20236729
1624665600000,41680.0,43162.1,39945.8,42459.3,11.24049928
1624752000000,42635.7,45777.2,42438.8,45777.2,9.22723423
1624838400000,45950.1,46451.9,44880.9,45554.1,11.52682561
1624924800000,45741.1,48486.4,45438.0,47724.5,11.29468342
1625011200000,47785.1,47928.1,45498.5,46800.0,13.18523449
1625097600000,46474.3,46693.0,43913.0,44946.1,5.61487542
1625184000000,44906.8,45383.5,43499.4,45056.1,14.88206414
1625270400000,45004.8,46392.1,44384.5,45711.7,4.08370494
1625356800000,46090.9,47773.9,45767.4,46879.2,6.14649866
1625443200000,46720.0,46720.0,44109.0,44834.5,7.97178372
1625529600000,44791.2,46100.6,44712.9,45657.7,4.90366751
1625616000000,45568.1,46560.8,45207.1,45207.1,5.17884973
1625702400000,45245.4,45245.4,43378.3,44271.8,10.9010609
1625788800000,44058.6,45520.0,43757.8,45461.9,7.50921194
1625875200000,45570.4,45789.7,44289.9,44900.0,2.16885366
1625961600000,44824.6,46128.9,44620.1,45882.3,1.72255598
1626048000000,45814.4,46236.7,43777.0,44510.0,9.7060345
1626134400000,44387.0,44685.3,43418.4,44011.5,9.51239124
1626220800000,44093.4,44288.0,42596.2,43925.2,17.94772393
1626307200000,43949.8,44190.9,42133.8,42620.1,4.97015818
1626393600000,42791.3,43459.9,41989.1,42511.1,5.98180769
1626480000000,42433.8,43159.1,42292.8,42790.5,4.38438828
1626566400000,42621.0,43833.8,42225.8,43079.8,2.66804192
1626652800000,43068.6,43275.8,41458.0,42216.9,11.18524882
1626739200000,42285.4,42285.4,40000.0,40513.7,22.66425506
1626825600000,40502.8,44502.9,40205.1,43679.7,15.85054978
1626912000000,43736.2,44270.3,43060.6,43794.5,9.11887789
1626998400000,43854.6,45691.1,43669.3,45691.1,13.13838479
1627084800000,45659.1,46940.8,45630.5,46663.1,10.20989678
1627171200000,46782.4,48050.0,46239.8,48050.0,2.42298589
1627257600000,48486.4,54777.0,48486.4,50806.9,30.9162309
1627344000000,50293.4,53640.7,49546.9,53640.7,21.38641405
1627430400000,53430.0,55725.1,53034.3,54265.5,15.72577991
1627516800000,54216.1,54839.2,53443.8,54104.0,13.24246409
1627603200000,54194.4,57186.7,52029.8,57064.3,13.32849614
1627689600000,57709.8,57709.8,56152.0,56900.0,12.03333239
1627776000000,56305.9,58067.3,53796.3,54659.9,15.18388684
1627862400000,54368.6,54855.9,52645.9,53402.8,22.51814835
1627948800000,52978.8,53970.6,51275.9,51646.4,10.76832078
1628035200000,51787.1,54396.7,50875.0,54210.2,14.52248985
1628121600000,53931.0,55838.5,50677.3,55251.4,18.6425032
1628208000000,55183.4,58742.7,54099.2,58078.4,11.23611295
1628294400000,58192.4,60901.9,58033.2,60775.9,6.13703896
1628380800000,60560.0,61591.4,59236.2,59796.6,3.45681686
1628467200000,59797.5,63320.9,58437.2,63160.3,14.72558905
1628553600000,64028.0,64028.0,60958.4,62000.0,13.46650929
1628640000000,62000.0,63500.0,61810.0,61936.8,21.55285617
1628726400000,61891.7,62856.2,59881.0,60636.2,12.9999821
1628812800000,60871.9,64847.7,60704.0,64691.7,10.6671848
1628899200000,64932.7,65442.7,62620.6,64056.1,5.67160017
1628985600000,64170.3,64360.7,62000.0,63868.9,3.6569504
1629072000000,64101.0,65431.0,62427.4,62450.0,5.55447824
1629158400000,62663.0,64509.7,61103.4,61239.5,25.82789133
1629244800000,61433.8,63476.1,61034.0,62237.0,12.40507808
1629331200000,61859.7,65556.9,61200.0,65313.7,11.98557218
1629417600000,65484.5,69193.0,65309.8,69193.0,7.0822201
1629504000000,69204.9,69503.9,68000.0,68557.9,9.93242061
1629590400000,68418.3,69290.7,67439.2,68985.7,9.27167229
1629676800000,69000.0,70412.3,68269.7,68877.7,6.14964324
1629763200000,68985.2,69017.9,65854.7,65854.7,7.40288955
1629849600000,65936.5,67509.0,65031.4,67421.9,6.43879349
1629936000000,67380.9,67849.8,64000.0,64917.0,5.76898285
1630022400000,64820.2,67418.6,64302.9,67309.6,5.4549601
1630108800000,67375.6,67758.6,66654.9,67181.6,4.556701
1630195200000,67228.6,68266.1,66033.8,66858.9,11.06728481
1630281600000,66801.1,66874.3,64316.6,64402.8,5.8352021
1630368000000,64380.9,65934.9,64000.0,64670.7,7.1559771
1630454400000,64445.6,66568.3,63781.4,66321.3,8.52594696
1630540800000,66502.6,68201.0,66184.6,66794.1,13.90367506
1630627200000,66727.0,68428.5,65559.1,67269.1,13.74945196
1630713600000,67230.0,67985.3,66706.9,67281.4,4.24193622
1630800000000,67179.5,69743.2,66740.1,69586.5,7.9313116
1630886400000,69638.4,71030.0,68729.9,70991.4,8.35883061
1630972800000,70771.0,71252.7,55000.0,63479.6,19.33159532
1631059200000,63591.6,64340.2,60583.4,62634.9,13.34814421
1631145600000,62693.9,64059.5,61885.8,63073.3,10.85551888
1631232000000,63040.0,63980.8,60403.6,61048.2,10.13845012
1631318400000,61245.2,62550.3,61245.2,61615.5,2.45337042
1631404800000,61760.2,63084.0,61222.5,62580.2,7.74654724
1631491200000,62796.4,63352.4,59420.7,61150.2,7.24548919
1631577600000,61150.0,64643.1,60900.0,64379.4,9.44921604
1631664000000,64350.9,66106.9,64116.4,65781.7,9.11047554
1631750400000,65700.0,66525.0,64790.3,65676.9,5.17819409
1631836800000,65695.3,66288.7,64600.0,65204.8,10.05108626
1631923200000,65275.5,67230.8,65129.4,66489.1,1.95422251
1632009600000,66737.4,66737.4,64602.8,65152.7,7.0834867
1632096000000,65150.0,65244.3,58834.0,59106.6,24.3652243
1632182400000,59301.4,60243.2,55159.8,56424.6,68.70377747
1632268800000,56388.8,60497.2,56279.4,60410.0,9.8711057
1632355200000,60327.0,61852.6,59741.2,61705.6,8.86861342
1632441600000,61773.4,62184.1,56631.3,59037.1,17.23111148
1632528000000,59101.9,59285.7,57688.5,59038.6,4.70895002
1632614400000,58797.5,60717.9,56526.3,59805.2,5.94387447
1632700800000,59579.7,61169.2,58065.6,58123.7,10.04746754
1632787200000,58120.4,58815.9,56752.7,56788.2,8.66514575
1632873600000,56803.9,59123.7,56600.0,58007.2,11.20399986
1632960000000,58057.2,61010.0,57895.0,60736.5,7.69315038
1633046400000,60835.8,66908.1,59928.3,66220.0,16.28663258
1633132800000,66374.5,66688.0,65448.5,65763.6,5.89170445
1633219200000,65851.0,67832.6,65120.5,66450.8,7.60540449
1633305600000,66396.9,68000.0,64671.0,67677.9,15.67233757
1633392000000,67747.9,71344.7,67624.3,70912.8,8.9538126
1633478400000,70617.9,76496.4,70000.0,76035.1,18.41827691
1633564800000,76154.5,76154.5,73348.0,73745.2,7.27641748
1633651200000,73937.7,76798.2,73541.6,73971.5,9.48470818
1633737600000,73947.9,76024.5,73668.1,75648.0,6.11882365
1633824000000,75673.2,77452.2,74517.0,75187.6,7.74642312
1633910400000,75126.4,78841.2,74905.8,78524.8,14.52591983
1633996800000,78390.5,78642.2,73895.0,76632.2,104.54879751
1634083200000,76672.4,78258.9,74013.5,77894.2,49.57797461
1634169600000,77841.6,79401.0,77000.0,77323.9,11.39505571
1634256000000,77350.5,84476.4,76884.3,83441.1,18.14113478
1634342400000,83155.2,84246.6,81521.2,82350.3,8.92373312
1634428800000,81945.0,83328.1,79995.7,83068.9,8.70783245
1634515200000,83084.6,84656.7,81488.9,83758.3,10.73612933
1634601600000,83752.9,86310.6,82567.9,86022.3,19.12181736
1634688000000,86022.3,90010.1,84892.2,88530.6,65.02840078
1634774400000,88322.1,89541.7,83317.3,83749.9,102.84420581
1634860800000,83691.7,85034.8,80618.6,81499.1,18.06663533
1634947200000,81332.9,82815.5,80370.8,82393.1,5.34814424
1635033600000,82410.8,82424.1,80344.5,81703.0,4.78779407
1635120000000,81792.6,85281.7,81510.9,84388.0,135.13033875
1635206400000,84498.0,84687.9,80450.7,80680.5,22.16874123
1635292800000,80624.2,82123.6,77400.0,78542.3,23.21035639
1635379200000,78486.6,83281.6,77396.3,80817.1,180.55584221
1635465600000,80933.8,84133.5,80516.8,83197.3,131.25298661
1635552000000,83051.2,83082.2,81229.1,82371.6,4.9160506
1635638400000,82769.5,83268.4,80465.8,82023.0,17.76882532
1635724800000,82135.9,83620.9,79668.3,81366.5,8.89530555
1635811200000,81366.5,86443.2,80960.2,85157.9,6.65387884
1635897600000,85365.4,85497.0,82000.0,84685.1,11.26256195
1635984000000,84505.3,84763.9,82599.9,83299.3,15.68072237
1636070400000,83220.5,84814.1,82392.2,82467.8,12.77901409
1636156800000,82455.2,84070.6,81363.0,84045.1,105.48952234
1636243200000,84045.1,85748.4,83614.0,85748.4,19.49271698
